,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url
82775,사이드바이사이드,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.5664255,126.9895389,사이드바이사이드 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20사이드바이사이드,https://m.place.naver.com/restaurant/1704022791
84246,누크,부페,종합부페,,명동,37.56229615,126.9818978,누크 부페 종합부페 ,명동%20누크,https://m.place.naver.com/restaurant/611631895
84547,콩뼈숯뼈감자탕,한식,한식/백반/한정식,한식 음식점업,명동,37.56463373,126.9833941,콩뼈숯뼈감자탕 한식 한식 백반 한정식 한식 음식점업,명동%20콩뼈숯뼈감자탕,https://m.place.naver.com/restaurant/1472110536
84957,기와집삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,명동,37.56434124,126.9850054,기와집삼계탕 닭 오리요리 삼계탕전문 한식 음식점업,명동%20기와집삼계탕,https://m.place.naver.com/restaurant/1462752611
84982,국밥쟁이,한식,한식/백반/한정식,한식 음식점업,명동,37.56761415,126.9884022,국밥쟁이 한식 한식 백반 한정식 한식 음식점업,명동%20국밥쟁이,https://m.place.naver.com/restaurant/1839170473
85558,크림시크,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.5643412,126.9839527,크림시크 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20크림시크,https://m.place.naver.com/restaurant/1256999271
86224,송추가마골더홈,한식,한식/백반/한정식,한식 음식점업,명동,37.56738787,126.9851339,송추가마골더홈 한식 한식 백반 한정식 한식 음식점업,명동%20송추가마골더홈,https://m.place.naver.com/restaurant/1258359006
86509,컴포즈커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56155955,126.9884501,컴포즈커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20컴포즈커피,https://m.place.naver.com/restaurant/1437890511
86913,카오짜이,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,명동,37.56715194,126.9870388,카오짜이 별식 퓨전요리 동남아음식전문점 기타 외국식 음식점업,명동%20카오짜이,https://m.place.naver.com/restaurant/1259366650
87033,영동호프식당,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56769698,126.9907103,영동호프식당 분식 라면김밥분식 분식 및 김밥 전문점,명동%20영동호프식당,https://m.place.naver.com/restaurant/1610863166
87117,양밍위황먼지미판,중식,중국음식/중국집,중식 음식점업,명동,37.56313024,126.9835391,양밍위황먼지미판 중식 중국음식 중국집 중식 음식점업,명동%20양밍위황먼지미판,https://m.place.naver.com/restaurant/1333329166
87232,에그홀릭,한식,한식/백반/한정식,한식 음식점업,명동,37.56614114,126.9868487,에그홀릭 한식 한식 백반 한정식 한식 음식점업,명동%20에그홀릭,https://m.place.naver.com/restaurant/1048411373
87578,몬스터홀덤,유흥주점,호프/맥주,기타 주점업,명동,37.56767415,126.9817567,몬스터홀덤 유흥주점 호프 맥주 기타 주점업,명동%20몬스터홀덤,https://m.place.naver.com/restaurant/1392796519
87753,이남장,한식,한식/백반/한정식,한식 음식점업,명동,37.56553964,126.9839591,이남장 한식 한식 백반 한정식 한식 음식점업,명동%20이남장,https://m.place.naver.com/restaurant/11679393
87831,"잠시,휴식",커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56648318,126.9836633,"잠시,휴식 커피점 카페 커피전문점 카페 다방 비알콜 음료점업","명동%20잠시,휴식",https://m.place.naver.com/restaurant/1352956588
88338,뱅커스클럽바이반얀트리,한식,한식/백반/한정식,한식 음식점업,명동,37.56501173,126.9854378,뱅커스클럽바이반얀트리 한식 한식 백반 한정식 한식 음식점업,명동%20뱅커스클럽바이반얀트리,https://m.place.naver.com/restaurant/1237536249
88758,커피온리,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.5671398,126.9793529,커피온리 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피온리,https://m.place.naver.com/restaurant/1825524447
88977,THAI,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,명동,37.56340378,126.9828675,THAI 별식 퓨전요리 동남아음식전문점 기타 외국식 음식점업,명동%20THAI,https://m.place.naver.com/restaurant/20336576
89080,홀리데이인서울,양식,기타전문서양음식점,서양식 음식점업,명동,37.56155955,126.9884501,홀리데이인서울 양식 기타전문서양음식점 서양식 음식점업,명동%20홀리데이인서울,https://m.place.naver.com/restaurant/1599438297
89136,뜸부기황금족발,한식,족발/보쌈전문,한식 음식점업,명동,37.56682501,126.988843,뜸부기황금족발 한식 족발 보쌈전문 한식 음식점업,명동%20뜸부기황금족발,https://m.place.naver.com/restaurant/37830327
89229,매일더맥주,유흥주점,호프/맥주,기타 주점업,명동,37.56471871,126.9838457,매일더맥주 유흥주점 호프 맥주 기타 주점업,명동%20매일더맥주,https://m.place.naver.com/restaurant/37448239
89528,아트몬스터,유흥주점,호프/맥주,기타 주점업,명동,37.56051518,126.9853969,아트몬스터 유흥주점 호프 맥주 기타 주점업,명동%20아트몬스터,https://m.place.naver.com/restaurant/1042037969
90339,명동칼국수샤브샤브,별식/퓨전요리,샤브샤브전문,한식 음식점업,명동,37.56713039,126.9803492,명동칼국수샤브샤브 별식 퓨전요리 샤브샤브전문 한식 음식점업,명동%20명동칼국수샤브샤브,https://m.place.naver.com/restaurant/13403646
91120,싸다김밥,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56159633,126.9864349,싸다김밥 분식 라면김밥분식 분식 및 김밥 전문점,명동%20싸다김밥,https://m.place.naver.com/restaurant/1759221815
91463,국민맥주,유흥주점,호프/맥주,기타 주점업,명동,37.56783732,126.9808263,국민맥주 유흥주점 호프 맥주 기타 주점업,명동%20국민맥주,https://m.place.naver.com/restaurant/1784385667
92301,명동반점,중식,중국음식/중국집,중식 음식점업,명동,37.56199326,126.9885914,명동반점 중식 중국음식 중국집 중식 음식점업,명동%20명동반점,https://m.place.naver.com/restaurant/1908155562
93259,원당,한식,해장국/감자탕,한식 음식점업,명동,37.56440226,126.9847669,원당 한식 해장국 감자탕 한식 음식점업,명동%20원당,https://m.place.naver.com/restaurant/32241137
93632,다동막회,일식/수산물,횟집,한식 음식점업,명동,37.56754589,126.980468,다동막회 일식 수산물 횟집 한식 음식점업,명동%20다동막회,https://m.place.naver.com/restaurant/1261768646
94135,용대리황태해장국,한식,해장국/감자탕,한식 음식점업,명동,37.5664255,126.9895389,용대리황태해장국 한식 해장국 감자탕 한식 음식점업,명동%20용대리황태해장국,https://m.place.naver.com/restaurant/1716850687
94166,소마드로잉카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56451563,126.9832825,소마드로잉카페 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20소마드로잉카페,https://m.place.naver.com/restaurant/1664154056
94545,제주백,한식,한식/백반/한정식,한식 음식점업,명동,37.56765498,126.9805797,제주백 한식 한식 백반 한정식 한식 음식점업,명동%20제주백,https://m.place.naver.com/restaurant/1108886259
94955,영진마라탕,중식,중국음식/중국집,중식 음식점업,명동,37.56346085,126.9853117,영진마라탕 중식 중국음식 중국집 중식 음식점업,명동%20영진마라탕,https://m.place.naver.com/restaurant/1636151144
94969,스몰굿커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56693685,126.9819365,스몰굿커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스몰굿커피,https://m.place.naver.com/restaurant/1053442348
95010,아재커피세종대로점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56910998,126.9758734,아재커피세종대로점 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20아재커피세종대로점,https://m.place.naver.com/restaurant/1104359465
95085,명동풍천민물장어,일식/수산물,민물장어전문,한식 음식점업,명동,37.55890319,126.9834041,명동풍천민물장어 일식 수산물 민물장어전문 한식 음식점업,명동%20명동풍천민물장어,https://m.place.naver.com/restaurant/1480011629
95811,오군,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56769837,126.9803867,오군 분식 라면김밥분식 분식 및 김밥 전문점,명동%20오군,https://m.place.naver.com/restaurant/20888940
96153,몰또이탈리안에스프레소바,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.5644057,126.9862157,몰또이탈리안에스프레소바 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20몰또이탈리안에스프레소바,https://m.place.naver.com/restaurant/1430587054
96350,디저트쓰리,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56821344,126.9816022,디저트쓰리 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20디저트쓰리,https://m.place.naver.com/restaurant/1253828309
96784,코코버블티,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56462428,126.9843903,코코버블티 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20코코버블티,https://m.place.naver.com/restaurant/1850542321
97600,매머드익스프레스청계,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56821344,126.9816022,매머드익스프레스청계 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20매머드익스프레스청계,https://m.place.naver.com/restaurant/1307598214
97739,김삼보김치찌개,한식,한식/백반/한정식,한식 음식점업,명동,37.56106382,126.982141,김삼보김치찌개 한식 한식 백반 한정식 한식 음식점업,명동%20김삼보김치찌개,https://m.place.naver.com/restaurant/1554063007
97778,어펜드커피로스터스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56451661,126.9833957,어펜드커피로스터스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20어펜드커피로스터스,https://m.place.naver.com/restaurant/1401476830
98210,루체,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56584618,126.9787593,루체 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20루체,https://m.place.naver.com/restaurant/1261041106
98724,장독대,한식,한식/백반/한정식,한식 음식점업,명동,37.56508772,126.9869422,장독대 한식 한식 백반 한정식 한식 음식점업,명동%20장독대,https://m.place.naver.com/restaurant/1514847140
99229,푸라닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,명동,37.56471871,126.9838457,푸라닭 닭 오리요리 후라이드 양념치킨 치킨 전문점,명동%20푸라닭,https://m.place.naver.com/restaurant/1973976023
99639,광화문프렌즈,한식,한식/백반/한정식,한식 음식점업,명동,37.56900236,126.9759315,광화문프렌즈 한식 한식 백반 한정식 한식 음식점업,명동%20광화문프렌즈,https://m.place.naver.com/restaurant/1592955263
99883,쓰리펍,유흥주점,호프/맥주,기타 주점업,명동,37.55843021,126.9849838,쓰리펍 유흥주점 호프 맥주 기타 주점업,명동%20쓰리펍,https://m.place.naver.com/restaurant/1716296726
100724,리사르커피명동,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56177364,126.9881982,리사르커피명동 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20리사르커피명동,https://m.place.naver.com/restaurant/1529023045
100772,요꼬쪼,유흥주점,로바다야끼,일식 음식점업,명동,37.56451563,126.9832825,요꼬쪼 유흥주점 로바다야끼 일식 음식점업,명동%20요꼬쪼,https://m.place.naver.com/restaurant/1174608937
