,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url
48040,신동궁감자탕뼈숯불구이,한식,해장국/감자탕,한식 음식점업,명동,37.5656927,126.9839457,신동궁감자탕뼈숯불구이 한식 해장국 감자탕 한식 음식점업,명동%20신동궁감자탕뼈숯불구이,https://m.place.naver.com/restaurant/275980821
48127,세종참치,일식/수산물,참치전문점,일식 음식점업,명동,37.56166068,126.9876338,세종참치 일식 수산물 참치전문점 일식 음식점업,명동%20세종참치,https://m.place.naver.com/restaurant/18664327
48195,바르다김선생,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56508772,126.9869422,바르다김선생 분식 라면김밥분식 분식 및 김밥 전문점,명동%20바르다김선생,https://m.place.naver.com/restaurant/1692278697
48229,어사랑,일식/수산물,음식점-일식,일식 음식점업,명동,37.56682821,126.9892166,어사랑 일식 수산물 음식점-일식 일식 음식점업,명동%20어사랑,https://m.place.naver.com/restaurant/11706795
48287,신룽푸마라탕,중식,중국음식/중국집,중식 음식점업,명동,37.55936645,126.9859331,신룽푸마라탕 중식 중국음식 중국집 중식 음식점업,명동%20신룽푸마라탕,https://m.place.naver.com/restaurant/988697159
48538,참고기집,한식,기타고기요리,한식 음식점업,명동,37.5602655,126.9846533,참고기집 한식 기타고기요리 한식 음식점업,명동%20참고기집,https://m.place.naver.com/restaurant/1553036552
48715,본도시락,패스트푸드,도시락전문점,한식 음식점업,명동,37.56698417,126.98849,본도시락 패스트푸드 도시락전문점 한식 음식점업,명동%20본도시락,https://m.place.naver.com/restaurant/37578142
48835,보돌미역,한식,한식/백반/한정식,한식 음식점업,명동,37.56174806,126.9841691,보돌미역 한식 한식 백반 한정식 한식 음식점업,명동%20보돌미역,https://m.place.naver.com/restaurant/1284729633
48838,샤이바나,양식,정통양식/경양식,서양식 음식점업,명동,37.56840963,126.9782375,샤이바나 양식 정통양식 경양식 서양식 음식점업,명동%20샤이바나,https://m.place.naver.com/restaurant/31076497
48853,연가,일식/수산물,음식점-일식,일식 음식점업,명동,37.5645188,126.9846974,연가 일식 수산물 음식점-일식 일식 음식점업,명동%20연가,https://m.place.naver.com/restaurant/21907623
48922,케이코쇼텐,한식,한식/백반/한정식,한식 음식점업,명동,37.56036894,126.9872551,케이코쇼텐 한식 한식 백반 한정식 한식 음식점업,명동%20케이코쇼텐,https://m.place.naver.com/restaurant/65140851
49106,서울다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56717125,126.9829974,서울다방 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20서울다방,https://m.place.naver.com/restaurant/37263960
49620,투썸플레이스명동역점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56019278,126.9856276,투썸플레이스명동역점 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20투썸플레이스명동역점,https://m.place.naver.com/restaurant/30961528
49998,카페베네,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56113945,126.985694,카페베네 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페베네,https://m.place.naver.com/restaurant/1643845095
50229,스타벅스을지로센타,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56694427,126.9848909,스타벅스을지로센타 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스을지로센타,https://m.place.naver.com/restaurant/31317957
50881,라화쿵부마라탕,중식,중국음식/중국집,중식 음식점업,명동,37.56335479,126.9834568,라화쿵부마라탕 중식 중국음식 중국집 중식 음식점업,명동%20라화쿵부마라탕,https://m.place.naver.com/restaurant/629293540
51048,옥키,한식,한식/백반/한정식,한식 음식점업,명동,37.56212395,126.9901743,옥키 한식 한식 백반 한정식 한식 음식점업,명동%20옥키,https://m.place.naver.com/restaurant/37272472
51265,직원식당,기타음식업,구내식당/자급식음식점,기관구내식당업,명동,37.56780657,126.9762309,직원식당 기타음식업 구내식당 자급식음식점 기관구내식당업,명동%20직원식당,https://m.place.naver.com/restaurant/1298936866
