,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,star_point,blog_review_qty,blog_review_text
7355,카페남산,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.5570582,126.9857494,카페남산 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20카페남산,https://m.place.naver.com/restaurant/1272869293,4.29,6,[]
7371,파리바게뜨,제과제빵떡케익,제과점,제과점업,명동,37.56054654,126.9848532,파리바게뜨 제과제빵떡케익 제과점 제과점업,명동%20파리바게뜨,https://m.place.naver.com/restaurant/1999413846,4.56,87,"[<span class=""WoYOw"">구운과자 전문점 '샬레 드 서울' 과 함께 합니다.

루프탑 있는 해방촌 남산아래 아닙니다!</span>]"
7662,김밥일번가,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56724333,126.9829964,김밥일번가 분식 라면김밥분식 분식 및 김밥 전문점,명동%20김밥일번가,https://m.place.naver.com/restaurant/38563005,4.37,9,"[<span class=""WoYOw"">파리바게뜨 무교점입니다. 네이버 스마트주문에서 간편하게 주문하세요!</span>]"
7672,이나니와요스케,유흥주점,로바다야끼,일식 음식점업,명동,37.5653724,126.9791959,이나니와요스케 유흥주점 로바다야끼 일식 음식점업,명동%20이나니와요스케,https://m.place.naver.com/restaurant/36690321,4.17,19,"[<span class=""WoYOw"">명동 15년 경력 세프의 명품깁밥 좋은 식자재 사용 저렴하지만 영양과 맛을 제공하는 한국 패스트푸드 음식점 가족같은 마음으로 정성을 다하여 음식을 만들겠습니다.</span>]"
7976,베네피아,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56614114,126.9868487,베네피아 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20베네피아,https://m.place.naver.com/restaurant/1991630496,null,null,null
7980,딴따라오뎅,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56464966,126.9841976,딴따라오뎅 분식 라면김밥분식 분식 및 김밥 전문점,명동%20딴따라오뎅,https://m.place.naver.com/restaurant/64126550,4.2,1,[]
8176,중일회관,한식,갈비/삼겹살,한식 음식점업,명동,37.56009967,126.985278,중일회관 한식 갈비 삼겹살 한식 음식점업,명동%20중일회관,https://m.place.naver.com/restaurant/21085589,4.16,8,[]
8260,아리랑호두과자,제과제빵떡케익,제과점,제과점업,명동,37.56177364,126.9881982,아리랑호두과자 제과제빵떡케익 제과점 제과점업,명동%20아리랑호두과자,https://m.place.naver.com/restaurant/1444776966,4.38,6,[]
8435,둘둘치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,명동,37.55991514,126.9858238,둘둘치킨 닭 오리요리 후라이드 양념치킨 치킨 전문점,명동%20둘둘치킨,https://m.place.naver.com/restaurant/11723662,null,null,null
8601,남도한식정든님,한식,한식/백반/한정식,한식 음식점업,명동,37.56587666,126.9864788,남도한식정든님 한식 한식 백반 한정식 한식 음식점업,명동%20남도한식정든님,https://m.place.naver.com/restaurant/37069135,4.36,23,"[<span class=""WoYOw"">둘둘치킨 본점(명동) 입니다.</span>]"
8679,카페마마스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56738787,126.9851339,카페마마스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페마마스,https://m.place.naver.com/restaurant/30999918,4.28,127,"[<span class=""WoYOw"">원재료를 전라남도 바닷가에서 직접 서울로 공수해서 요리하는  을지로에 있는 웰빙 전라남도 전통 한정식 맛집입니다.</span>]"
8741,김밥천국,한식,한식/백반/한정식,한식 음식점업,명동,37.56745965,126.9830048,김밥천국 한식 한식 백반 한정식 한식 음식점업,명동%20김밥천국,https://m.place.naver.com/restaurant/1322495660,null,null,null
